+-----------------------+------------------+--------------------------------------+--------------------+-----------------------+-----------+----------------------------+-----------+-------+-------------------+---------------+---------------+
|          site         |   web-servers    |        javascript-frameworks         |    tag-managers    | programming-languages | databases |       web-frameworks       |    cms    | blogs | operating-systems | miscellaneous | video-players |
+-----------------------+------------------+--------------------------------------+--------------------+-----------------------+-----------+----------------------------+-----------+-------+-------------------+---------------+---------------+
|      xvideos.com      |      Nginx       |          RequireJS ,jQuery           |                    |                       |           |                            |           |       |                   |               |               |
|        xnxx.com       |      Nginx       |          RequireJS ,jQuery           |                    |                       |           |                            |           |       |                   |               |               |
|      pornhub.com      | OpenResty ,Nginx | Prototype ,jQuery ,HeadJS ,jQuery UI |                    |          Lua          |           |                            |           |       |                   |               |               |
|      xhamster.com     |      Nginx       |          Prototype ,jQuery           |                    |                       |           |                            |           |       |                   |               |               |
|      redtube.com      | OpenResty ,Nginx | Prototype ,jQuery ,HeadJS ,jQuery UI |                    |          Lua          |           |                            |           |       |                   |               |               |
|     chaturbate.com    |      Nginx       |                                      |                    |         Python        |           |           Django           |           |       |                   |               |               |
|      youporn.com      | OpenResty ,Nginx |      Prototype ,jQuery ,HeadJS       |                    |          Lua          |           |                            |           |       |                   |               |               |
|        beeg.com       |      Nginx       |                                      |                    |                       |           |                            |           |       |                   |               |               |
|       dmm.co.jp       |      Apache      |                jQuery                |                    |                       |           |                            |           |       |                   |               |               |
|     serviporno.com    |      Nginx       |     Prototype ,RequireJS ,jQuery     | Google Tag Manager |                       |           |                            |           |       |                   |               |               |
|      e-hentai.org     |      Nginx       |                                      |                    |                       |           |                            |           |       |                   |               |               |
|     livejasmin.com    |                  |              Socket.io               | Google Tag Manager |        node.js        |           |                            |           |       |                   |               |               |
|     bongacams.com     |                  |                                      |                    |                       |           |                            |           |       |                   |               |               |
|     spankbang.com     |      Nginx       |                jQuery                |                    |                       |           |                            |           |       |                   |               |               |
|      nhentai.net      |      Nginx       |                                      |                    |                       |           |                            |           |       |                   |               |               |
|     wellhello.com     |      Nginx       |         Prototype ,RequireJS         |                    |                       |           |      ZURB Foundation       |           |       |                   |               |               |
|      atianqi.com      |                  |                                      |                    |                       |           |                            |           |       |                   |               |               |
|        txxx.com       |      Nginx       |                                      | Google Tag Manager |                       |           |                            |           |       |                   |               |               |
|     quizzstar.com     |      Nginx       |         Prototype ,RequireJS         |                    |          Ruby         |           |       Ruby on Rails        |           |       |                   |               |               |
|      youjizz.com      |      Nginx       |                                      |                    |                       |           |     Twitter Bootstrap      |           |       |                   |               |               |
|       vporn.com       |     lighttpd     |                                      |                    |                       |           |     Twitter Bootstrap      |           |       |                   |               |               |
|      backpage.com     |                  |                                      | Google Tag Manager |                       |           |                            |           |       |                   |               |               |
|      imagefap.com     |     lighttpd     |     Prototype ,RequireJS ,jQuery     |                    |                       |           |                            |           |       |                   |               |               |
|        porn.com       |      Nginx       |          RequireJS ,jQuery           |                    |                       |           |                            |           |       |                   |               |               |
|       tube8.com       | OpenResty ,Nginx |      Prototype ,jQuery ,HeadJS       |                    |          Lua          |           |                            |           |       |                   |               |               |
|       hitomi.la       |      Nginx       |                jQuery                |                    |                       |           |                            |           |       |                   |               |               |
|  free3dadultgames.com |      Nginx       |                jQuery                |                    |                       |           |     Twitter Bootstrap      |           |       |                   |               |               |
|        nate.com       |      Apache      |                                      |                    |                       |           |                            |           |       |                   |               |               |
|    perfectgirls.net   |      Nginx       |                                      |                    |                       |           |                            |           |       |                   |               |               |
|      pornpics.com     |      Nginx       |          jQuery ,jQuery UI           |                    |                       |           |                            |           |       |                   |               |               |
|      tnaflix.com      |      Nginx       |         Prototype ,RequireJS         |                    |                       |           |                            |           |       |                   |               |               |
|  xvideosporno.blog.br |                  |          RequireJS ,jQuery           |                    |          PHP          |           |                            | WordPress |  PHP  |                   |               |               |
|     eroterest.net     |      Nginx       |                jQuery                |                    |                       |           |     Twitter Bootstrap      |           |       |                   |               |               |
|      drtuber.com      |      Nginx       |                jQuery                |                    |                       |           |                            |           |       |                   |               |               |
|    reallifecam.com    |                  |                                      |                    |                       |           |                            |           |       |                   |               |               |
|     motherless.com    |      Nginx       |                jQuery                |                    |                       |           |     Twitter Bootstrap      |           |       |                   |               |               |
|      gotporn.com      |      Nginx       |      jQuery ,Vue.js ,Handlebars      |                    |          PHP          |           | Laravel ,Twitter Bootstrap |           |       |                   |               |               |
|  movie.eroterest.net  |      Nginx       |                jQuery                |                    |                       |           |     Twitter Bootstrap      |           |       |                   |               |               |
|  brazzersnetwork.com  |      Apache      |              Modernizr               |                    |                       |           |                            |           |       |                   |               |               |
|        cam4.com       |      Nginx       |     Prototype ,RequireJS ,jQuery     | Google Tag Manager |          Java         |  Firebase |     Twitter Bootstrap      |           |       |                   |               |               |
|   yespornplease.com   |      Nginx       |          jQuery ,jQuery UI           |                    |                       |           |     Twitter Bootstrap      |           |       |                   |               |               |
|     myfreecams.com    |      Apache      |                                      |                    |                       |           |                            |           |       |                   |               |               |
| adultfriendfinder.com |      Apache      |                jQuery                |                    |                       |           |                            |           |       |                   |               |               |
|       pornmd.com      |      Nginx       |      Prototype ,jQuery ,HeadJS       |                    |                       |           |                            |           |       |                   |               |               |
|      bamtoki.com      |      Nginx       |          jQuery ,Socket.io           |                    |        node.js        |           |     Twitter Bootstrap      |           |       |                   |               |               |
|     pornodoido.com    |      Nginx       |     Prototype ,RequireJS ,jQuery     | Google Tag Manager |                       |           |                            |           |       |                   |               |               |
|      dropbooks.tv     |      Nginx       |                jQuery                |                    |                       |           |                            |           |       |                   |               |               |
|     flirt4free.com    |                  |                                      |                    |                       |           |                            |           |       |                   |               |               |
|       mm131.com       |     Tengine      |                                      |                    |                       |           |                            |           |       |                   |               |               |
+-----------------------+------------------+--------------------------------------+--------------------+-----------------------+-----------+----------------------------+-----------+-------+-------------------+---------------+---------------+
