+-------------------------------+-------------+-------------+-----------------------+--------------+-----------------------+-----------+----------------+-----+-------+-------------------+---------------+---------------+
|              site             |  analytics  | web-servers | javascript-frameworks | tag-managers | programming-languages | databases | web-frameworks | cms | blogs | operating-systems | miscellaneous | video-players |
+-------------------------------+-------------+-------------+-----------------------+--------------+-----------------------+-----------+----------------+-----+-------+-------------------+---------------+---------------+
|          xonitec.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       tastelesstoons.com      | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|        unhungheroes.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|      divinastravestis.com     | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          blknight.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         sexlivetv.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|          dokudoku.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         badrussian.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          pinkslut.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       grannysexporn.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           brsex.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           frytki.com          | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        voyeurbabes.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|           jprox.com           | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          camdaddy.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        wakeupgirls.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         hdflimizle.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         sexcamteen.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|       personalgirls.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        dirtypillows.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         uswebgirls.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |    YouTube    |
|         wvswingers.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        twistedkitty.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|         zoldkartya.com        | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|        kneehighsock.com       | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
|          bigcross.com         | StatCounter |     IIS     |         jQuery        |              |                       |           |                |     |       |   Windows Server  |               |               |
